name,ticker
Afarak Group,AFAGR
Affecto,AFE1V
Ahlstrom,AHL1V
Ahtium,AHTIUM
Aktia Pankki A,AKTIA
Aktia Pankki R,AKTRV
Alma Media,ALMA
Amer Sports A,AMEAS
Apetit,APETIT
Aspo,ASPO
Aspocomp Group,ACG1V
Atria A,ATRAV
Basware,BAS1V
Biohit B,BIOBV
Biotie Therapies,BTH1V
Bittium,BITTI
Boreo,BOREO
CapMan,CAPMAN
Cargotec,CGCBV
Citycon,CTY1S
Componenta,CTH1V
Comptel,CTL1V
Cramo,CRA1V
Digia,DIGIA
Digitalist Group,DIGIGR
Dovre Group,DOV1V
Elecster A,ELEAV
Elisa,ELISA
Enedo,ENEDO
eQ,EQV1V
Ericsson B,ERIBR
Etteplan,ETTE
Exel Composites,EXL1V
Finnair,FIA1S
Fiskars A,FSKRS
Fortum,FORTUM
Glaston,GLA1V
HKScan A,HKSAV
Honkarakenne B,HONBS
Huhtamäki,HUH1V
Ilkka1,ILKKA1
Ilkka2,ILKKA2
Incap,ICP1V
Innofactor,IFA1V
Investors House,INVEST
Kemira,KEMIRA
Keskisuomalainen A,KSLAV
Kesko A,KESKOA
Kesko B,KESKOB
Kesla A,KELAS
KH Group,KHG
Kone,KNEBV
Konecranes,KCR
Lassila & Tikanoja,LAT1V
Lemminkäinen,LEM1S
Marimekko,MEKKO
Martela A,MARAS
Metso,METSO
Metsä Board A,METSA
Metsä Board B,METSB
Neles,NELES
Neste,NESTE
Nokia,NOKIA
Nokian Renkaat,TYRES
Nordea Bank,NDA FI
Norvestia,NORVE
Nurminen Logistics,NLG1V
Okmetic,OKM1V
Olvi A,OLVAS
Oriola A,OKDAV
Oriola B,OKDBV
Orion A,ORNAV
Orion B,ORNBV
Outokumpu,OUT1V
Panostaja,PNA1V
PKC Group,PKC1V
Ponsse,PON1V
PunaMusta Media,PUMU
Pöyry,POY1V
QPR Software,QPR1V
Raisio K,RAIKV
Raisio V,RAIVV
Ramirent,RAMI
Rapala VMC,RAP1V
Raute A,RAUTE
Reka Industrial,REKA
Revenio Group,REG1V
Saga Furs C,SAGCV
Sampo A,SAMPO
Sanoma,SANOMA
Scanfil,SCANFL
Siili Solutions,SIILI
Solteq,SOLTEQ
Sotkamo Silver,SOSI1
Sponda,SDA1V
SRV Yhtiöt,SRV1V
Stockmann A,STCAS
Stockmann B,STOCKA
Stora Enso A,STEAV
Stora Enso R,STERV
Suominen,SUY1V
Takoma,TAM1V
Technopolis,TPS1V
Tecnotree,TEM1V
Teleste,TLT1V
Telia Company,TELIA1
TietoEVRY,TIETO
Tikkurila,TIK1V
Trainers´ House,TRH1V
Tulikivi A,TULAV
UPM-Kymmene,UPM
Uponor,UPONOR
Vaisala A,VAIAS
Valoe,VALOE
Viking Line,VIK1V
Wetteri,WETTERI
WithSecure,WITH
Wulff Group,WUF1V
Wärtsilä B,WRT1V
YIT,YIT
Ålandsbanken A,ALBAV
Ålandsbanken B,ALBBV
Plc Uutechnic Group,UUTEC
SSH Communications Security,SSH1V
Ahlstrom-Munksjö,AM1
Caverion,CAV1V
Endomines Finland,PAMPALO
NoHo Partners,NOHO
Taaleri,TAALA
Ovaro Kiinteistösijoitus,OVARO
Nixu,NIXU
SSAB A,SSABAH
SSAB B,SSABBH
United Bankers,UNITED
Valmet,VALMT
Verkkokauppa.com,VERK
Alisa Pankki,ALISA
Consti,CONSTI
EAB Group,EAB
Enento Group,ENENTO
Kotipizza Group,PIZZA
Pihlajalinna,PIHLIS
Robit,ROBIT
Talenom,TNOM
DNA,DNA
Hoivatilat,HOIVA
Lehto Group,LEHTO
Qt Group,QTCOM
Tokmanni Group,TOKMAN
Nokia uudet osakkeet 2016,NOKIAM0116
Gofore,GOFORE
Kamux,KAMUX
Rovio,ROVIO
Silmäasema,SILMA
Terveystalo,TTALO
Remedy Entertainment,REMEDY
Anora Group,ANORA
Eezy,EEZY
Efore Uudet 2018,EFO1VN0118
Enersense,ESENSE
Harvia,HARVIA
Kojamo,KOJAMO
Oma Säästöpankki,OMASP
Tallink Grupp,TALLINK
Optomed,OPTOMED
Relais Group,RELAIS
Musti Group,MUSTI
Kreate Group,KREATE
Lamor,LAMOR
Lifeline SPAC I,LL1SPAC
Orthex,ORTHEX
Purmo Group,PURMO
Puuilo,PUUILO
Sitowise Group,SITOWS
Evli,EVLI
F-Secure,FSECURE
Koskisen,KOSKI
Avidly,AVIDLY
Herantis Pharma,HRTIS
Nexstim,NXTMH
Eagle Filters Group,EAGLE
Ahola Transport A,AHOLA
FIT Biotech,FITBIO
Meriaura Group,MERIH
Piippo,PIIPPO
Detection Technology,DETEC
Heeros,HEEROS
NYAB,NYAB
Vincit,VINCIT
Efecte,EFECTE
Fondia,FONDIA
Next Games,NXTGMS
Titanium,TITAN
Admicom,ADMCM
Fellow Finance,FELLOWX
Nordic ID,NORDID
Rush Factory,RUSH
Viafin Service,VIAFIN
BBS-Bioactive Bone Substitutes,BONEH
Aallon Group,AALLON
Fodelia,FODELIA
LeadDesk,LEADD
Faron Pharmaceuticals,FARON
Bilot,BILOT
Nanoform Finland,NANOFH
Partnera,PARTNE1
Administer,ADMIN
Betolar,BETOLAR
Bioretec,BRETEC
Digital Workforce,DWF
Duell,DUELL
EcoUp,ECOUP
Fifax,FIFAX
Inderes,INDERES
Kempower,KEMPOWR
Lemonsoft,LEMON
Loihde,LOIHDE
Merus Power,MERUS
Modulight,MODU
Netum,NETUM
Nightingale Health,HEALTH
Norrhydro Group,NORRH
Solwers,SOLWERS
Spinnova,SPINN
Springvest,SPRING
Toivo Group,TOIVO
Aiforia Technologies,AIFORIA
Alexandria Group Oyj,ALEX
Asuntosalkku,ASUNTO
LapWall,LAPWALL
Pallas Air,PALLAS
Tamtron Group,TAMTRON
Witted Megacorp,WITTED
Nordic Lights Group,NORDLIG
Pohjanmaan Arvo Sijoitusosuuskunta,ARVOSK
Mandatum,MANTA
Finnair Oyj Uudet 2023,FIA1SN0123
